country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,exports_value,imports_value,health_value,kmeans_cluster,segment,priority_rank
Haiti,208.0,15.3,6.91,64.7,1500,5.45,32.1,3.33,662,101.286,428.314,45.7442,1,High Priority,1
Sierra Leone,160.0,16.8,13.1,34.5,1220,17.2,55.0,5.2,399,67.03200000000001,137.655,52.269,1,High Priority,1
Chad,150.0,36.8,4.53,43.5,1930,6.39,56.5,6.59,897,330.096,390.195,40.634100000000004,1,High Priority,1
Central African Republic,149.0,11.8,3.98,26.5,888,2.01,47.5,5.21,446,52.628,118.19,17.750799999999998,1,High Priority,1
Mali,137.0,22.8,4.98,35.1,1870,4.37,59.5,6.55,708,161.424,248.50799999999998,35.2584,1,High Priority,1
Nigeria,130.0,25.3,5.07,17.4,5150,104.0,60.5,5.84,2330,589.49,405.42,118.131,1,High Priority,1
Niger,123.0,22.2,5.16,49.1,814,2.55,58.8,7.49,348,77.256,170.868,17.9568,1,High Priority,1
Angola,119.0,62.3,2.85,42.9,5900,22.4,60.1,6.16,3530,2199.19,1514.37,100.605,1,High Priority,1
"Congo, Dem. Rep.",116.0,41.1,7.91,49.6,609,20.8,57.5,6.54,334,137.274,165.66400000000002,26.4194,1,High Priority,1
Burkina Faso,116.0,19.2,6.74,29.6,1430,6.81,57.9,5.87,575,110.4,170.2,38.755,1,High Priority,1
Guinea-Bissau,114.0,14.9,8.5,35.2,1390,2.97,55.6,5.05,547,81.503,192.544,46.495,1,High Priority,1
Benin,111.0,23.8,4.1,37.2,1820,0.885,61.8,5.36,758,180.40400000000002,281.976,31.077999999999996,1,High Priority,1
Cote d'Ivoire,111.0,50.6,5.3,43.3,2690,5.39,56.3,5.27,1220,617.32,528.26,64.66,1,High Priority,1
Equatorial Guinea,111.0,85.8,4.48,58.9,33700,24.9,60.9,5.21,17100,14671.8,10071.9,766.0800000000002,1,High Priority,1
Guinea,109.0,30.3,4.93,43.2,1190,16.1,58.0,5.34,648,196.34400000000002,279.93600000000004,31.946399999999997,1,High Priority,1
Cameroon,108.0,22.2,5.13,27.0,2660,1.91,57.3,5.11,1310,290.82,353.7,67.203,1,High Priority,1
Mozambique,101.0,31.5,5.21,46.2,918,7.64,54.5,5.56,419,131.985,193.57800000000003,21.8299,1,High Priority,1
Lesotho,99.7,39.4,11.1,101.0,2380,4.15,46.5,3.3,1170,460.98,1181.7,129.87,1,High Priority,1
Mauritania,97.4,50.7,4.41,61.2,3320,18.9,68.2,4.98,1200,608.4,734.4,52.92,1,High Priority,1
Burundi,93.6,8.92,11.6,39.2,764,12.3,57.7,6.26,231,20.6052,90.552,26.796,1,High Priority,1
Pakistan,92.1,13.5,2.2,19.4,4280,10.9,65.3,3.85,1040,140.4,201.76,22.88,1,High Priority,1
Malawi,90.5,22.8,6.59,34.9,1030,12.1,53.1,5.31,459,104.652,160.19099999999997,30.2481,1,High Priority,1
Togo,90.3,40.2,7.65,57.3,1210,1.18,58.7,4.87,488,196.17600000000002,279.62399999999997,37.332,1,High Priority,1
