eps,min_samples,clusters,noise_points,silhouette_score,ari_vs_kmeans
1.1,3,4,58,0.34603805577303864,0.4142229903117996
1.1,4,3,64,0.40299511808760885,0.37806219207396957
1.1,5,4,71,0.29793477387239203,0.334441981641576
1.1,6,4,75,0.30393503265119837,0.3079503809072023
1.1,8,2,97,0.44080088931898403,0.24172539005438987
1.3,3,2,37,0.052542125187484905,0.07973315829574254
1.3,4,2,40,0.05340305646189166,0.09879879230250627
1.3,5,2,46,0.4077511058060232,0.375552187434461
1.3,6,2,48,0.41312351628967614,0.36023919438375535
1.3,8,3,53,0.369160621571262,0.4634346235211947
1.5,3,2,25,0.2261410783131612,0.09342708397642746
1.5,4,1,29,,0.10061271868839544
1.5,5,1,30,,0.10659810279693946
1.5,6,1,31,,0.09822864662159406
1.5,8,1,35,,0.10953264058887853
1.7,3,2,20,0.21379072158298296,0.07756134677011223
1.7,4,1,23,,0.07703089062600706
1.7,5,1,24,,0.08270593576513666
1.7,6,1,24,,0.08270593576513666
1.7,8,1,25,,0.08951223807602945
1.9,3,2,13,0.19837179979476555,0.03788103337563802
1.9,4,1,17,,0.043878674405501646
1.9,5,1,19,,0.055101687926229694
1.9,6,1,19,,0.055101687926229694
1.9,8,1,20,,0.06213291430026067
2.1,3,1,11,,0.03701170219651724
2.1,4,1,11,,0.03701170219651724
2.1,5,1,12,,0.0410751084509463
2.1,6,1,13,,0.04817289356493111
2.1,8,1,16,,0.05678812574434658
2.3,3,1,9,,0.02988816674442694
2.3,4,1,9,,0.02988816674442694
2.3,5,1,9,,0.02988816674442694
2.3,6,1,9,,0.02988816674442694
2.3,8,1,9,,0.02988816674442694
2.5,3,1,6,,0.03423950311463901
2.5,4,1,6,,0.03423950311463901
2.5,5,1,6,,0.03423950311463901
2.5,6,1,6,,0.03423950311463901
2.5,8,1,6,,0.03423950311463901
2.7,3,1,6,,0.03423950311463901
2.7,4,1,6,,0.03423950311463901
2.7,5,1,6,,0.03423950311463901
2.7,6,1,6,,0.03423950311463901
2.7,8,1,6,,0.03423950311463901
2.9,3,1,6,,0.03423950311463901
2.9,4,1,6,,0.03423950311463901
2.9,5,1,6,,0.03423950311463901
2.9,6,1,6,,0.03423950311463901
2.9,8,1,6,,0.03423950311463901
